Country,Confirmed Cases,Reported Deaths,Recovered *
United States,"236,339","5,607","8,474"
Italy,"115,242","13,915","16,847"
Spain,"110,238","10,003","22,647"
China,"81,589","3,318","76,405"
Germany,"80,641",962,"18,700"
France,"59,105","5,387","11,053"
Iran,"50,468","3,160","15,473"
United Kingdom,"33,718","2,921",179
Switzerland,"18,267",505,"2,967"
Turkey,"18,135",356,333
Belgium,"15,348","1,011","2,132"
Netherlands,"14,697","1,339",260
Austria,"10,967",158,"1,436"
Canada,"10,114",127,"1,324"
South Korea,"9,976",169,"5,567"
Portugal,"9,034",209,43
Brazil,"6,836",241,127
Israel,"6,360",33,241
Sweden,"5,466",282,103
Australia,"5,133",23,422
Norway,"5,083",47,13
Ireland,"3,849",98,5
Czech Republic,"3,604",40,-
Russia,"3,548",30,190
Chile,"3,404",18,234
Denmark,"3,355",123,971
Malaysia,"3,116",50,645
Ecuador,"2,758",98,58
Romania,"2,738",94,252
Philippines,"2,633",107,50
Poland,"2,633",45,47
Japan,"2,510",70,472
Pakistan,"2,373",33,94
Luxembourg,"2,319",29,80
India,"2,069",53,148
Saudi Arabia,"1,885",21,264
Thailand,"1,875",15,505
Indonesia,"1,790",170,103
Finland,"1,518",19,10
Greece,"1,415",52,52
Dominican Republic,"1,380",60,9
South Africa,"1,380",5,50
Mexico,"1,378",37,35
Peru,"1,323",47,394
Iceland,"1,319",4,225
Panama,"1,317",32,9
Serbia,"1,171",31,-
Argentina,"1,133",34,248
Colombia,"1,065",17,39
Singapore,"1,049",4,266
Croatia,"1,011",7,73
Slovenia,897,17,10
Egypt,865,58,179
Estonia,858,11,33
Algeria,847,58,61
Qatar,835,2,71
United Arab Emirates,814,8,61
Ukraine,804,20,13
Hong Kong,802,4,-
New Zealand,797,1,83
Iraq,772,54,182
Cruise ship (Diamond Princess),712,11,-
Morocco,676,40,29
Armenia,663,5,31
Lithuania,649,9,7
Bahrain,635,4,337
Hungary,585,21,40
Bosnia and Herzegovina,518,15,19
Moldova,505,6,23
Lebanon,494,16,43
Latvia,458,0,1
Bulgaria,457,10,20
Andorra,428,15,10
Slovakia,426,1,3
Kazakhstan,423,3,26
Tunisia,423,12,5
Azerbaijan,400,5,26
North Macedonia,384,11,17
Costa Rica,375,2,4
Cyprus,356,10,28
Uruguay,350,4,41
Kuwait,342,0,80
